time,target_id,x,y,vx,vy
0,0,-37.5,15.0,nan,nan
1,0,-37.2,15.0,nan,nan
2,0,-36.9,15.0,nan,nan
3,0,-36.6,15.0,nan,nan
4,0,-36.3,15.0,nan,nan
5,0,-36.0,15.0,nan,nan
6,0,-35.7,15.0,nan,nan
7,0,-35.4,15.0,nan,nan
8,0,-35.1,15.0,nan,nan
9,0,-34.8,15.0,nan,nan
10,0,-34.5,15.0,nan,nan
11,0,-34.2,15.0,nan,nan
12,0,-33.9,15.0,nan,nan
13,0,-33.6,15.0,nan,nan
14,0,-33.3,15.0,nan,nan
15,0,-33.0,15.0,nan,nan
16,0,-32.7,15.0,nan,nan
17,0,-32.4,15.0,nan,nan
18,0,-32.1,15.0,nan,nan
19,0,-31.8,15.0,nan,nan
20,0,-31.5,15.0,nan,nan
