Time,Range,Angle,X,Y,Velocity
0,293.515253618167,2.98,-37.51925963806343,14.907133629605966,0.0
1,293.210064895923,3.02,-37.18871126274945,15.072439878432235,0.0
2,292.90487617367904,3.01,-36.886958949192376,14.986956076647601,0.0
3,292.599687451435,3.03,-36.56790981872041,15.051628686150544,0.0
4,292.37079590975196,3.03,-36.33726597235557,15.02502712153845,0.0
5,292.065607187508,3.02,-36.0354861315725,14.93963532406989,0.0
6,,,,,
7,291.45522974301997,3.02,-35.42037931104352,14.868800076920685,0.0
8,291.226338201337,3.07,-35.16093576000543,15.091098178174569,0.0
9,290.921149479093,3.1,-34.83604547626794,15.204554080399504,0.0
10,,,,,
11,290.310772034605,3.08,-34.23251594521372,15.033637988908417,0.0
12,290.158177673483,3.09,-34.07296767594977,15.065346007191792,0.0
13,289.852988951239,3.06,-33.78265891578877,14.880962617481046,0.0
14,289.54780022899496,3.09,-33.45782996590566,14.993745596244267,0.0
15,289.16631432619005,3.09,-33.07334949782279,14.94899308137397,0.0
16,288.784828423385,3.12,-32.671586665384496,15.052249841696892,0.0
17,288.479639701141,3.13,-32.35823151661202,15.065565425551796,0.0
18,288.250748159458,3.16,-32.11020095403626,15.186267222460387,0.0
19,288.02185661777503,3.12,-31.902597480482427,14.9623334020406,0.0
20,287.64037071497,3.14,-31.506572668280626,15.015638864081147,0.0
