Time,Range,Angle,X,Y,Velocity
0,293.74414515985,3.0,-37.738387202641604,15.03397259963996,5.309752355421477
1,293.438956437606,3.0,-37.43087694062666,14.998668705473222,5.309752355421477
2,293.286362076484,3.0,-37.2771183712332,14.981016363643953,5.309752355421477
3,292.675984631996,3.01,-36.65631276979434,14.960435821363369,5.309752355421477
4,292.44709309031305,3.03,-36.4141478336806,15.033894376545554,5.309752355421477
5,292.141904368069,3.04,-36.10085323829918,15.048359476972045,5.309752355421477
6,291.684121284703,3.02,-35.651048746849824,14.895363798781311,5.840727590963624
7,291.378932562459,3.04,-35.332000660121025,14.959547031637378,5.840727590963624
8,291.378932562459,3.05,-35.3262437881387,15.009346358110157,5.309752355421477
9,291.226338201337,3.07,-35.16093576000543,15.091098178174569,5.309752355421477
10,290.539663576288,3.07,-34.46894971256529,15.010797634298392,5.840727590963624
11,290.539663576288,3.06,-34.47470685090042,14.961147933845517,5.309752355421477
12,290.158177673483,3.08,-34.07873434080312,15.015765417810918,5.309752355421477
13,290.08188049292204,3.09,-33.996077544562525,15.056396198205533,5.309752355421477
14,289.54780022899496,3.09,-33.45782996590566,14.993745596244267,5.309752355421477
15,289.013719965068,3.1,-32.91380124641637,14.980469862479971,5.840727590963624
16,289.013719965068,3.11,-32.90804075954247,15.02984713321883,5.309752355421477
17,288.708531242824,3.12,-32.594690465093834,15.043258515565157,5.309752355421477
18,288.40334252058,3.11,-32.292856191521594,14.958023609978234,5.309752355421477
19,288.17445097889697,3.13,-32.05063971185979,15.029544882110336,5.309752355421477
20,287.716667895531,3.14,-31.583474208177563,15.02465802638796,5.309752355421477
