Time,Range,Angle,X,Y,Velocity
0,293.515253618167,3.0,-37.507755365037326,15.007494777622213,5.309752355421477
1,293.210064895923,3.0,-37.20023822532926,14.972190093857925,5.309752355421477
2,292.90487617367904,3.01,-36.886958949192376,14.986956076647601,5.309752355421477
3,292.599687451435,3.01,-36.57942955464523,14.95159560342372,5.309752355421477
4,292.37079590975196,3.01,-36.34877643663441,14.925074550321014,5.309752355421477
5,292.065607187508,3.04,-36.02397060371163,15.0394785354557,5.309752355421477
6,291.684121284703,3.04,-35.6395486960875,14.995072818904397,5.309752355421477
7,291.45522974301997,3.05,-35.403130123546305,15.018241325646201,5.309752355421477
8,291.150041020776,3.04,-35.1013334825501,14.932901980713488,5.309752355421477
9,290.84485229853203,3.07,-34.77650495761128,15.046487448479652,5.309752355421477
10,290.539663576288,3.08,-34.46318390881038,15.06044632918487,5.309752355421477
11,290.234474854044,3.08,-34.15562543953024,15.024701737821573,5.309752355421477
12,290.005583312361,3.08,-33.92495036229042,14.997892570794136,5.309752355421477
13,289.700394590117,3.1,-33.60585202924511,15.06114517731379,5.309752355421477
14,289.54780022899496,3.11,-33.44629570703677,15.092689032610252,5.309752355421477
15,289.09001714562896,3.1,-32.99069817448492,14.98943406573732,5.309752355421477
16,288.784828423385,3.11,-32.67735106587003,15.002913839641344,5.309752355421477
17,288.479639701141,3.12,-32.363998245878065,15.016284114083902,5.309752355421477
18,288.250748159458,3.13,-32.12753857107083,15.038550124304749,5.309752355421477
19,288.02185661777503,3.12,-31.902597480482427,14.9623334020406,5.309752355421477
20,287.64037071497,3.14,-31.506572668280626,15.015638864081147,5.309752355421477
