Time,Range,X,Y
0,,,
1,,,
2,292.37079590975196,-41.25859157421053,7.477738029681394
3,291.836715645825,-40.69075096717364,7.837103186749864
4,291.302635381898,-40.131601765181415,8.09365895402976
5,290.84485229853203,-39.54488318182803,9.46795827462353
6,290.310772034605,-39.13918259860617,8.055276731178253
7,289.852988951239,-38.63740396756765,8.51799831869414
8,289.318908687312,-38.09166482883967,8.619984601135595
9,288.861125603946,-37.654308340069406,8.377050225052933
10,288.32704534001897,-37.13163219236924,8.228054999396065
11,287.94555943721394,-36.67746432432301,8.994011339306827
12,287.411479173287,-36.22897080066741,8.044858129148537
13,286.953696089921,-35.73648507944773,8.402363419006058
13,291.378932562459,-40.14295041701968,8.809525630732292
14,286.419615825994,-35.20467029732703,8.353223152073586
14,291.150041020776,-39.91502979611079,8.788465516332657
15,285.885535562067,-34.63118597443582,8.751213325679334
16,285.427752478701,-34.18006862018558,8.65877874301859
16,290.76855511797095,-39.49752513005268,9.157606466090307
16,290.76855511797095,-39.06279210171891,13.449242721422305
17,284.893672214774,-33.69433220913015,8.113795979037913
18,284.435889131408,-33.136279920741345,9.159197679943027
19,283.978106048042,-32.805228047107335,7.783089494019009
19,290.158177673483,-38.95977492293105,8.344193805952258
20,283.520322964676,-32.3222244123163,8.03718757615529
20,289.852988951239,-38.62812985532554,8.618750161952086
20,289.852988951239,-38.086305327260106,13.953652167721728
