Time,Range,Angle,X,Y,Velocity
0,293.74414515985,3.03,-37.72271008499479,15.170241437726936,10.789412505668365
1,293.438956437606,3.0,-37.43252651477269,14.984297120383843,10.789412505668365
2,293.286362076484,3.02,-37.26724202858679,15.066929663151718,10.789412505668365
3,292.675984631996,3.01,-36.65796043326429,14.946102964530304,10.789412505668365
4,292.37079590975196,3.02,-36.3446739603861,14.96073414567735,10.789412505668365
5,292.065607187508,3.05,-36.01985388291905,15.075097680904527,10.789412505668365
6,291.91301282638597,3.01,-35.889097776223764,14.857736228695877,10.789412505668365
7,291.607824104142,3.04,-35.56431151695267,14.971913299064902,10.789412505668365
8,291.302635381898,3.03,-35.26250350614907,14.886615420917593,10.789412505668365
9,291.150041020776,3.07,-35.08570452756294,15.067921924768996,10.789412505668365
10,290.84485229853203,3.08,-34.772387373651384,15.08195124332854,10.789412505668365
11,290.463366395727,3.08,-34.38794739940403,15.037290928466795,10.789412505668365
12,290.158177673483,3.11,-34.06306625647744,15.150301050890107,10.789412505668365
13,290.08188049292204,3.09,-33.99773000937665,15.042196353013722,10.789412505668365
14,289.54780022899496,3.09,-33.459479298862504,14.979572663509693,10.789412505668365
15,289.318908687312,3.09,-33.228791471789066,14.952732898001145,10.789412505668365
16,289.013719965068,3.11,-32.90969189826336,15.015701689899437,10.789412505668365
17,288.708531242824,3.11,-32.60210264101363,14.979805870663846,10.789412505668365
18,288.40334252058,3.13,-32.282986948119685,15.042446287929074,10.789412505668365
19,288.098153798336,3.14,-31.96962591561345,15.055654327492775,10.789412505668365
20,287.792965076092,3.16,-31.650483298430856,15.117910638339474,10.789412505668365
