Time,Range,Angle,X,Y,Velocity,Power
0,286.11442710375,3.16,-29.956934458994056,14.932965934297172,10.789412505668365,-15.12726856661509
1,285.885535562067,3.19,-29.708930921564843,15.052282921534434,10.789412505668365,-11.28819619622745
2,285.580346839823,3.18,-29.407051664527444,14.96716519947877,10.789412505668365,-15.181827051531588
3,285.275158117579,3.2,-29.087885939550006,15.028287282304234,10.789412505668365,-14.299662195996133
4,284.969969395335,3.19,-28.785988866140883,14.943221899294109,10.789412505668365,-14.943896477714231
5,284.664780673091,3.21,-28.46681785258795,15.004071123311647,10.789412505668365,-13.938903350357721
6,284.359591950847,3.22,-28.153394936333655,15.01615392265144,10.789412505668365,-13.624582688099025
7,284.054403228603,3.23,-27.839966189831898,15.028127122058756,10.789412505668365,-12.352684322195477
8,283.749214506359,3.23,-27.532293947626783,14.991552693740068,10.789412505668365,-15.43333578455048
9,283.520322964676,3.23,-27.30153309253467,14.964121079198442,10.789412505668365,-13.79124587842654
10,283.215134242432,3.21,-27.005320032984685,14.830853436706391,10.789412505668365,-12.843318430344011
11,282.909945520188,3.25,-26.674644761052434,14.987546446821334,10.789412505668365,-14.048619226347467
12,282.604756797944,3.27,-26.3554281292798,15.047328308163564,10.789412505668365,-13.596753767867131
12,282.37586525626097,3.27,-26.1246576599263,15.019732152313907,10.789412505668365,-19.55703745084829
13,282.2995680757,3.3,-26.030410766220086,15.155067002776185,10.789412505668365,-15.28249418405209
14,281.994379353456,3.27,-25.740027297822564,14.973737015038076,10.789412505668365,-14.877451684902232
15,281.612893450651,3.29,-25.343870010699618,15.023855092624416,10.789412505668365,-15.058647308150718
16,281.46029908952903,3.3,-25.184248545826733,15.05343122636124,10.789412505668365,-15.6373051303398
17,281.155110367285,3.29,-24.882291952401715,14.968494910062248,10.789412505668365,-14.907364614181732
18,280.849921645041,3.29,-24.574560174595433,14.931586553841079,10.789412505668365,-16.606683728846384
19,280.39213856167504,3.32,-24.095691287993077,15.019742345251288,10.789412505668365,-16.59737202524507
20,280.239544200553,3.31,-23.947578872579754,14.953393809824632,10.789412505668365,-15.598997561458152
21,280.01065265887,3.32,-23.711016232166003,14.97340133503559,10.789412505668365,-18.102023066503403
22,279.705463936626,3.35,-23.38598137318064,15.07947618427616,10.789412505668365,-15.559854554112212
23,279.400275214382,3.35,-23.078238234632977,15.042239520672084,10.789412505668365,-15.301600575324642
23,279.171383672699,3.35,-22.84742388245371,15.014311176184364,10.789412505668365,-18.849689074882974
24,279.095086492138,3.36,-22.764719815076887,15.05260849398438,10.789412505668365,-15.977814834741453
24,278.866194950455,3.36,-22.533902317009506,15.024638892921772,10.789412505668365,-19.102536575394048
25,278.789897769894,3.36,-22.456961810473786,15.015315530129186,10.789412505668365,-15.22708673272903
26,278.48470904765,3.37,-22.143433171046013,15.025519757161355,10.789412505668365,-13.639938210327827
27,278.17952032540603,3.37,-21.83566016542818,14.988170469106457,10.789412505668365,-12.988461182577286
28,277.874331603162,3.37,-21.52787634765491,14.950819868960188,10.789412505668365,-12.756125409860147
29,277.56914288091804,3.39,-21.208576189797952,15.00813961358709,10.789412505668365,-12.428940943134014
30,277.340251339235,3.41,-20.966204125090655,15.074631289701898,10.789412505668365,-17.710316494929867
