Time,Range,Angle,X,Y,Velocity,Power
0,,,,,,
1,,,,,,
2,,,,,,
3,296.49084366004604,1.42,-41.31471708560821,7.328955437955187,10.789412505668365,-2.870903063184793
4,295.956763396119,1.42,-40.77521197033269,7.282047059415056,10.789412505668365,-3.671094011225771
5,295.422683132192,1.43,-40.2312706318246,7.2857915925145775,10.789412505668365,-2.410212891270407
6,294.964900048826,1.44,-39.76438863965194,7.296073551099919,10.789412505668365,-3.6602940450038206
7,294.430819784899,1.45,-39.22040994281946,7.299448842121894,10.789412505668365,-3.6250904984305925
8,294.04933388209395,1.46,-38.83057929069258,7.316145502546622,10.789412505668365,-3.6757846549215696
9,293.515253618167,1.46,-38.29098036063249,7.268849385009599,10.789412505668365,-3.7811992303705972
10,293.057470534801,1.47,-37.82403703931482,7.27854304834181,10.789412505668365,-3.021224351964633
11,292.523390270874,1.48,-37.27998592801913,7.281288352518928,10.789412505668365,-2.4884892730073513
12,292.065607187508,1.49,-36.81300950883809,7.29064013209015,10.789412505668365,-2.2723954132325908
13,291.531526923581,1.51,-36.264501136270894,7.342978901395249,10.789412505668365,-3.589453379956176
14,290.997446659654,1.51,-35.724809593564544,7.2952000418937075,10.789412505668365,-3.645754324266787
15,290.539663576288,1.53,-35.25336106901193,7.353818447218337,10.789412505668365,-4.307343031666856
16,290.08188049292204,1.53,-34.79073830257653,7.312699725301105,10.789412505668365,-4.004164972549975
17,289.62409740955604,1.54,-34.323679039243814,7.321203326245723,10.789412505668365,-4.476313505428004
18,289.09001714562896,1.54,-33.78390860000576,7.273132630594805,10.789412505668365,-4.591899486710803
19,288.63223406226297,1.56,-33.3123998876726,7.330823311934417,10.789412505668365,-4.523658044694024
20,288.098153798336,1.57,-32.76817440192741,7.331912036221027,10.789412505668365,-2.848696260968064
21,287.64037071497,1.57,-32.30546487468422,7.290459998461699,10.789412505668365,-4.737745664306642
22,287.106290451043,1.59,-31.75678094766812,7.340450007180294,10.789412505668365,-4.8699230403047284
23,286.648507367677,1.6,-31.28961833136657,7.347926840499401,10.789412505668365,-2.7772362585505146
24,286.11442710375,1.59,-30.754143310270877,7.250275464298571,10.789412505668365,-4.544112680400993
25,285.65664402038396,1.61,-30.282535564428258,7.306491865989134,10.789412505668365,-5.430213025972517
26,285.198860937018,1.62,-29.815322662922483,7.313543466238269,10.789412505668365,-5.103860495821473
27,284.664780673091,1.63,-29.270956536107064,7.313438941929942,10.789412505668365,-4.631163148627485
28,284.206997589725,1.63,-28.80812293570409,7.271487174981491,10.789412505668365,-5.030388998437005
29,283.67291732579804,1.65,-28.259300246561963,7.31967318949307,10.789412505668365,-4.876256869391205
30,283.215134242432,1.66,-27.79201569290001,7.326039588422788,10.789412505668365,-5.010629819532407
31,282.681053978505,1.67,-27.24756591602346,7.325194412653083,10.789412505668365,-3.4271636145774047
