Time,Range,Angle,X,Y,Velocity,Power
0,288.098153798336,1.66,-32.72803429273313,7.7760518112606185,10.789412505668365,-2.8877238855552605
1,287.64037071497,1.62,-32.28328729372356,7.5368083302220725,10.789412505668365,-4.769938450490867
1,285.885535562067,2.94,-29.850485627091928,13.831511712306341,10.789412505668365,-11.754143561691205
2,287.106290451043,1.71,-31.70309011053706,7.930504020038892,10.789412505668365,-4.888877724532505
3,286.648507367677,1.67,-31.2584400743537,7.691567936939194,10.789412505668365,-2.7337244834684977
4,286.11442710375,1.67,-30.71861361393121,7.642257458724082,10.789412505668365,-4.488928119425258
5,285.65664402038396,1.71,-30.237940531727588,7.795638381794134,10.789412505668365,-5.523255604165797
6,285.198860937018,1.69,-29.78418751340081,7.655383396837532,10.789412505668365,-5.227445709346869
7,284.664780673091,1.66,-29.257664169218174,7.4596613962395395,10.789412505668365,-4.578282769984733
8,284.206997589725,1.82,-28.722786682578203,8.195909277288898,10.789412505668365,-4.831167146394786
9,283.67291732579804,1.67,-28.25044506096191,7.416802464229821,10.789412505668365,-5.219674562479439
10,283.215134242432,1.97,-27.650923305608217,8.828661008370311,10.789412505668365,-3.5458081059728808
11,282.681053978505,1.77,-27.202942863759517,7.809043881355482,10.789412505668365,-3.544506613906695
12,282.22327089513897,1.85,-26.703867570751697,8.152328885567407,10.789412505668365,-6.666132442486825
13,281.689190631212,1.73,-26.21800175479825,7.522845159847556,10.789412505668365,-3.4685985339974232
14,281.307704728407,1.82,-25.791869435324543,7.920445461710244,10.789412505668365,-4.95882763331709
15,280.77362446448,1.85,-25.23827832983136,8.013810504251694,10.789412505668365,-5.261055200329449
16,280.315841381114,1.83,-24.784459987625098,7.874146913688595,10.789412505668365,-4.582505253694077
17,279.781761117187,1.84,-24.23988954831259,7.871158349868782,10.789412505668365,-5.272081532991058
18,279.24768085326,1.86,-23.69077693460514,7.915745847966814,10.789412505668365,-5.4592629244982955
19,278.789897769894,1.83,-23.241346868829908,7.7288448993681875,10.789412505668365,-5.748457684248935
20,278.255817505967,1.93,-22.655962037823485,8.153897245782886,10.789412505668365,-5.300761399215683
21,277.798034422601,1.98,-22.170135704486768,8.347014245676196,10.789412505668365,-5.7905111449688915
22,277.340251339235,1.95,-21.72094682810905,8.15993248741195,10.789412505668365,-5.2455410684989126
23,276.882468255869,1.9,-21.280662034613613,7.878632759944139,10.789412505668365,-6.112243845965633
24,276.348387991942,1.93,-20.72689205671611,7.968855636244172,10.789412505668365,-6.829076679844118
25,275.814307728015,2.0,-20.15481012700451,8.247112464542223,10.789412505668365,-8.461961575361066
26,275.356524644649,1.92,-19.728116932888895,7.825541624853074,10.789412505668365,-5.382241672392183
26,278.48470904765,3.19,-22.245842757721448,14.170394378873361,10.789412505668365,-12.822987341833283
27,274.822444380722,1.95,-19.1742957225469,7.914753667861305,10.789412505668365,-8.988462585309524
27,278.17952032540603,3.13,-21.97145548089594,13.8492218441205,10.789412505668365,-13.288166682757845
28,274.364661297356,2.04,-18.67021830756994,8.292226291730685,10.789412505668365,-7.375875755491559
28,277.874331603162,3.1,-21.680138002169713,13.670913769988637,10.789412505668365,-12.449323352688573
29,273.830581033429,1.9,-18.193288829876565,7.584114909836238,10.789412505668365,-6.790917244091653
29,277.56914288091804,3.32,-21.248700823527088,14.676771278634696,10.789412505668365,-12.113424668413442
30,273.372797950063,2.02,-17.676007748358302,8.100604110763264,10.789412505668365,-7.090187718216785
