Time,target_id,X,Y,Range,Angle,Velocity
0,0,-30.0,15.0,286.1642884777903,0.055370692306520294,5.870753506443861
0,1,-35.0,7.5,290.30372026551777,0.027290799620700357,9.8173044334166
1,0,-29.7,15.0,285.87075751115225,0.05549536959319877,5.87048502131083
1,1,-34.5,7.5,289.8128706596724,0.027446795838820717,9.816679271435419
2,0,-29.4,15.0,285.57723998946415,0.055620310939527434,5.87021570788291
2,1,-34.0,7.5,289.3220523914484,0.027603336954140606,9.816050925000086
3,0,-29.1,15.0,285.28373595422505,0.05574551718137816,5.869945562787696
3,1,-33.5,7.5,288.83126562060414,0.027760425818944043,9.815419372651746
4,0,-28.8,15.0,284.990245447103,0.055870989158137804,5.869674582635806
4,1,-33.0,7.5,288.34051050797564,0.027918065305402653,9.81478459275226
5,0,-28.5,15.0,284.69676850993585,0.05599672771272646,5.869402764020775
5,1,-32.5,7.5,287.84978721548504,0.02807625830574874,9.814146563482426
6,0,-28.2,15.0,284.40330518473235,0.05612273369161605,5.86913010351895
6,1,-32.0,7.5,287.3590959061502,0.028235007732450315,9.813505262840177
7,0,-27.9,15.0,284.1098555136727,0.05624900794484901,5.8688565976893985
7,1,-31.5,7.5,286.8684367440936,0.028394316518387877,9.812860668638754
8,0,-27.6,15.0,283.81641953910986,0.05637555132605693,5.868582243073786
8,1,-31.0,7.5,286.3778098945517,0.02855418761703306,9.812212758504861
9,0,-27.3,15.0,283.52299730356975,0.056502364692479545,5.86830703619629
9,1,-30.5,7.5,285.88721552388455,0.028714624002629086,9.811561509876805
10,0,-27.0,15.0,283.22958884975276,0.056629448904983656,5.868030973563484
10,1,-30.0,7.5,285.39665379958467,0.02887562867037327,9.810906900002605
11,0,-26.7,15.0,282.93619422053445,0.056756804828082236,5.867754051664234
11,1,-29.5,7.5,284.90612489028734,0.029037204636601324,9.810248905938082
12,0,-26.4,15.0,282.64281345896626,0.05688443332995369,5.867476266969598
12,1,-29.0,7.5,284.4156289657796,0.029199354938973562,9.809587504544934
13,0,-26.1,15.0,282.34944660827654,0.05701233528246118,5.86719761593271
13,1,-28.5,7.5,283.9251661970104,0.029362082636663248,9.808922672488778
14,0,-25.8,15.0,282.0560937118714,0.05714051156117213,5.866918094988676
14,1,-28.0,7.5,283.4347367561005,0.02952539081054681,9.808254386237168
15,0,-25.5,15.0,281.76275481333585,0.057268963045377805,5.866637700554465
15,1,-27.5,7.5,282.94434081635205,0.029689282563396036,9.807582622057609
16,0,-25.2,15.0,281.46942995643417,0.05739769061811299,5.866356429028802
16,1,-27.0,7.5,282.453978552259,0.029853761020072395,9.806907356015525
17,0,-24.9,15.0,281.1761191851114,0.05752669516617594,5.866074276792058
17,1,-26.5,7.5,281.9636501395171,0.030018829327723442,9.806228563972212
18,0,-24.6,15.0,280.8828225434941,0.05765597758014818,5.8657912402061285
18,1,-26.0,7.5,281.4733557550341,0.030184490655981222,9.805546221582778
19,0,-24.3,15.0,280.5895400758909,0.05778553875441486,5.8655073156143365
19,1,-25.5,7.5,280.98309557694034,0.030350748197162866,9.804860304294039
20,0,-24.0,15.0,280.296271826794,0.05791537958718468,5.865222499341311
20,1,-25.0,7.5,280.492869784599,0.030517605166473297,9.804170787342395
21,0,-23.7,15.0,280.0030178408797,0.05804550098051044,5.8649367876928755
21,1,-24.5,7.5,280.00267855861665,0.030685064802210074,9.80347764575171
22,0,-23.4,15.0,279.7097781630095,0.058175903840309504,5.864650176955938
22,1,-24.0,7.5,279.5125220808542,0.03085313036597058,9.802780854331113
23,0,-23.1,15.0,279.41655283823115,0.05830658907638432,5.864362663398368
23,1,-23.5,7.5,279.0224005344374,0.03102180514286125,9.802080387672824
24,0,-22.8,15.0,279.1233419117792,0.058437557602443305,5.864074243268889
24,1,-23.0,7.5,278.5323141037679,0.03119109244170913,9.801376220149924
25,0,-22.5,15.0,278.8301454290766,0.058568810336121574,5.863784912796954
25,1,-22.5,7.5,278.04226297453414,0.031360995595275803,9.800668325914117
26,0,-22.2,15.0,278.53696343573506,0.058700348199002036,5.8634946681926365
26,1,-22.0,7.5,277.55224733372273,0.031531517960473446,9.79995667889344
27,0,-21.9,15.0,278.2437959775563,0.05883217211663651,5.863203505646508
27,1,-21.5,7.5,277.0622673696294,0.031702662918583396,9.799241252789981
28,0,-21.6,15.0,277.9506431005332,0.058964283018567015,5.862911421329516
28,1,-21.0,7.5,276.5723232718704,0.031874433875477004,9.798522021077545
29,0,-21.3,15.0,277.6575048508504,0.059096681838347265,5.8626184113928685
29,1,-20.5,7.5,276.0824152313943,0.03204683426183888,9.79779895699929
30,0,-21.0,15.0,277.3643812748854,0.059229369513564015,5.8623244719679155
30,1,-20.0,7.5,275.592543440493,0.03221986753339258,9.797072033565358
