Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
7.10055019e-07,8.66957439e-13,-2.15732837
7.12600013e-07,3.35420819e-13,0.34323892
7.15145006e-07,5.82616908e-14,2.9416101
7.1769e-07,1.44455879e-14,2.57696342
7.20234993e-07,1.94926991e-16,0.283991367
7.22779987e-07,5.13744094e-19,-1.77914321
7.25324981e-07,4.95327728e-17,-2.00908232
7.27869974e-07,4.66544111e-26,0.160143241
7.30415024e-07,6.23164254e-27,2.46287704
7.53320023e-07,8.35094986e-20,-0.851454854
7.55865017e-07,1.58982676e-20,2.80327892
7.5841001e-07,1.03046499e-21,-1.93015921
7.60955004e-07,7.12049456e-23,-0.228195027
7.63499997e-07,2.51856016e-26,2.39018297
7.66044991e-07,3.62620722e-34,-2.47661781
7.96585027e-07,9.94581886e-27,2.68430543
7.99130021e-07,6.92181764e-27,1.80413938
8.01675014e-07,5.61614431e-31,2.95520616
8.32214994e-07,1.00875766e-21,0.301138937
8.34759987e-07,1.22055955e-22,0.288164735
8.37304981e-07,4.29955289e-23,-1.55918813
8.39849974e-07,8.79036273e-26,1.77123094
8.42395025e-07,3.3343311e-31,-3.0464654
8.72935004e-07,6.80000724e-30,1.2743541
8.75479998e-07,5.09122662e-27,2.4454329
8.78024991e-07,4.09801931e-30,-0.321827054
9.51829975e-07,6.91890814e-28,2.60257077
9.54374968e-07,1.26979414e-28,2.88790631
9.56919962e-07,2.72938254e-33,2.08996654
