Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.96474002e-06,1.90777824e-15,-0.0211251527
1.96728502e-06,3.12566759e-13,-1.14650595
1.96983001e-06,4.03448501e-14,2.29298663
1.972375e-06,1.37781026e-16,-3.02529836
1.97492e-06,1.50621938e-19,0.55679971
1.97746499e-06,3.82397367e-18,-2.73896623
1.98000998e-06,1.80249372e-24,0.981311858
1.98255498e-06,4.01612117e-20,2.85987258
1.98509997e-06,8.09559888e-21,-1.09645212
1.98764496e-06,1.22865709e-23,2.8736434
1.99018996e-06,7.80778085e-27,-0.336853147
1.99273495e-06,6.02026517e-30,-0.566471994
1.99527994e-06,4.8424671e-41,-0.243114218
1.99782494e-06,4.28642567e-30,-2.84333181
2.00036993e-06,2.30583349e-27,1.4649055
2.00291493e-06,5.53415857e-30,2.54369426
2.11744009e-06,3.23756577e-25,-2.12445593
2.11998508e-06,6.10879559e-23,-0.0970966741
2.12253008e-06,8.84902255e-25,1.82311189
2.12507507e-06,2.05535336e-26,1.86293674
2.12762006e-06,1.02139022e-31,1.38609755
2.13016506e-06,3.22165827e-33,2.11955142
2.13525504e-06,2.18231528e-28,1.36334753
2.13780004e-06,7.33157801e-31,1.66508102
2.27013993e-06,4.20264132e-30,0.876227796
2.27268492e-06,5.98982193e-30,-2.04129028
2.27522992e-06,2.34626468e-34,-1.06856418
3.36703511e-06,2.57529906e-23,-0.22468847
3.3695801e-06,2.94018143e-24,1.4667027
3.37212509e-06,3.47513567e-27,0.354610324
3.37467009e-06,1.87862899e-30,-1.18213761
3.37721508e-06,7.80242365e-34,2.98396468
3.38485006e-06,4.52127173e-28,-0.0965314284
3.38739505e-06,9.9335694e-37,1.42106164
3.51973495e-06,3.46517384e-28,2.80928111
3.52227994e-06,6.74535507e-35,0.499261916
4.76678497e-06,7.16927563e-31,1.84290254
4.76933019e-06,2.8861951e-32,-1.38033426
4.77187496e-06,1.91939074e-39,-0.204314843
4.77442018e-06,1.87211165e-37,-2.96263766
