Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60657203e-06,1.86973036e-13,-2.01126933
1.80130803e-06,1.75019427e-16,-2.72021341
1.94736003e-06,3.66929455e-14,3.02135992
1.95547409e-06,3.68453132e-14,-0.215748042
1.96358792e-06,3.09970166e-19,-0.363871604
1.97170198e-06,3.04985551e-21,2.32876945
1.97981603e-06,3.68716746e-27,1.48912811
1.98793009e-06,4.91773645e-28,-2.89221096
2.10152598e-06,1.82060041e-23,1.72058272
2.10964004e-06,1.44588824e-25,2.19678283
2.11775409e-06,1.52720467e-28,-1.97952139
2.12586792e-06,7.45542197e-35,-0.813106358
2.25569192e-06,2.47282752e-31,-2.52681327
3.36731e-06,7.63678509e-23,3.12602639
3.37542406e-06,2.53568264e-27,2.46372461
3.38353789e-06,6.12557523e-28,-2.21307826
3.52147595e-06,3.39084185e-28,-2.62944841
4.78725997e-06,4.04894045e-31,-2.01010633
