Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60349998e-06,2.39595433e-14,3.08110595
1.60499997e-06,1.61281971e-13,-1.64521074
1.79949996e-06,1.75019427e-16,-2.72021341
1.85800002e-06,3.24984112e-14,2.83821297
1.85850001e-06,1.06936785e-13,0.303746641
1.85900001e-06,3.38050985e-13,-0.135140106
1.8595e-06,2.09433792e-14,0.141656578
1.86e-06,4.95388066e-16,-1.63738859
1.86049999e-06,6.0017029e-17,1.95787072
1.86099999e-06,5.0598198e-17,-2.09357309
1.86149998e-06,1.02336959e-16,-0.661635756
1.86199998e-06,1.41798067e-16,-0.941586852
1.86249997e-06,7.82198531e-17,-1.67439854
1.86299997e-06,1.99551284e-18,-2.49142337
1.86349996e-06,1.62563821e-18,2.62101984
1.86399996e-06,2.46412406e-17,3.03311706
1.86449995e-06,7.60735312e-17,2.02230358
1.86499994e-06,1.27988258e-17,2.84451938
1.86550005e-06,7.51206924e-15,1.96253431
1.86600005e-06,1.77711979e-18,0.119864814
1.86650004e-06,1.01682757e-17,1.19158912
1.86700004e-06,1.30603084e-16,-2.81767941
1.86750003e-06,6.01578971e-18,1.41192126
1.86800003e-06,2.35184436e-15,0.258033812
1.86850002e-06,3.70308643e-17,-0.915392518
1.86900002e-06,1.84614087e-16,0.350893885
1.86950001e-06,6.82235615e-15,-1.16564798
1.87000001e-06,2.33428172e-16,-1.46827734
1.8705e-06,6.04967925e-16,0.0458267964
1.87099999e-06,2.64078657e-15,1.51465487
1.87149999e-06,3.72842558e-15,-0.387689352
1.87199998e-06,5.5060083e-17,1.31336713
1.87249998e-06,1.01392639e-14,1.50184023
1.87299997e-06,5.67537419e-17,-1.05123687
1.87349997e-06,6.23376942e-17,-2.37947679
1.87399996e-06,7.00498365e-17,-1.37072873
1.87449996e-06,1.9965691e-15,-0.329572737
1.87499995e-06,1.48208049e-18,0.903684497
1.87549995e-06,2.83820847e-18,-2.66775298
1.87600006e-06,1.21819065e-18,1.51879799
1.87650005e-06,2.02193217e-17,2.4889667
1.87700005e-06,3.5477822e-18,-2.37973595
1.87750004e-06,2.42886195e-16,0.910390317
1.87800003e-06,1.37732626e-16,2.1898489
1.87850003e-06,6.49458145e-17,0.579770267
1.87900002e-06,8.42739615e-17,2.65337491
1.87950002e-06,1.24626054e-15,3.0674212
1.88000001e-06,1.68008572e-15,1.37872779
1.88050001e-06,3.3910931e-17,-1.36316681
1.881e-06,2.76852242e-16,-0.418311447
1.8815e-06,8.3213516e-17,2.18528914
1.88199999e-06,1.24469209e-17,2.06445646
1.88249999e-06,6.44280915e-15,0.962874293
1.88299998e-06,9.69739401e-18,0.0345327556
1.88349998e-06,1.64666878e-17,0.606694221
1.88399997e-06,3.04141076e-18,1.36524212
1.88449997e-06,3.29261466e-19,-2.70986104
1.88499996e-06,3.26354902e-20,0.860045612
1.88549996e-06,8.74430591e-20,-2.21380639
1.88599995e-06,6.52522719e-21,-0.430072635
1.88649994e-06,1.15597638e-19,-2.33931112
1.88700005e-06,1.80809662e-20,-1.36360705
1.88750005e-06,4.50066225e-22,-2.60794353
1.88800004e-06,2.18637375e-20,1.27233696
1.88850004e-06,1.44782311e-20,-1.55506289
1.88900003e-06,3.21973927e-19,1.44156945
1.88950003e-06,8.31358602e-21,2.73170066
1.89000002e-06,3.37792192e-20,-0.964982212
1.89050002e-06,5.05545992e-22,-2.43477082
1.89100001e-06,1.06466207e-20,-2.49450397
1.89150001e-06,1.87464035e-22,-2.27684069
1.892e-06,2.46233957e-22,1.5647608
1.89249999e-06,3.73265615e-21,2.83294463
1.89299999e-06,2.59804097e-23,-3.08062816
