Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
6.74424996e-07,3.64635859e-14,1.62433362
6.76969989e-07,2.72737274e-14,-2.50865889
6.79514983e-07,7.05189325e-13,-2.8596437
6.82059976e-07,5.68158022e-14,-0.897962093
6.84605027e-07,4.67400505e-14,-0.219879553
6.8715002e-07,1.87712586e-16,1.26164174
6.89695014e-07,1.77704571e-13,-0.815480471
6.92240008e-07,1.06107716e-13,0.821127594
6.94785001e-07,1.93168642e-13,0.201697454
6.97329995e-07,5.37236047e-16,0.347851455
6.99874988e-07,6.05709714e-16,2.65385437
7.02419982e-07,1.37122485e-16,-0.710540891
7.04964975e-07,4.24869819e-19,-3.08889365
7.07510026e-07,2.89077394e-19,-1.37528682
7.10055019e-07,1.1970256e-19,-2.87452412
7.12600013e-07,8.88434791e-21,-2.48134041
7.15145006e-07,2.54492423e-20,-1.64452136
7.1769e-07,1.49070742e-20,0.505530477
7.20234993e-07,9.10119807e-23,-2.06962156
7.22779987e-07,4.87331358e-20,0.218139708
7.25324981e-07,4.31534027e-22,-0.384655505
7.27869974e-07,1.24788172e-21,2.02349973
7.30415024e-07,1.32765803e-24,0.988518417
7.32960018e-07,6.81742654e-26,1.27572894
7.35505012e-07,1.18959327e-24,0.850521326
7.38050005e-07,1.79434918e-26,-0.296167403
7.40594999e-07,2.45680424e-25,0.871884048
7.43139992e-07,9.50446582e-27,-2.64981246
7.45684986e-07,2.11734562e-27,-0.376740932
7.48229979e-07,1.23396402e-27,-1.94006646
7.50774973e-07,1.01137137e-26,-0.307111949
7.53320023e-07,3.59215726e-29,3.11662292
7.55865017e-07,7.81101285e-28,0.36515224
7.5841001e-07,7.8709685e-28,-2.66689038
7.60955004e-07,5.42786679e-31,2.28175378
7.63499997e-07,1.62322013e-33,0.945750833
7.66044991e-07,1.33389587e-36,0.0875639245
7.94039977e-07,1.11169712e-22,-0.622796953
7.96585027e-07,8.67256577e-23,0.148794115
7.99130021e-07,5.1505867e-22,1.18796897
8.01675014e-07,2.74792515e-22,-1.74429703
8.04220008e-07,1.82839435e-23,-0.804170489
8.06765001e-07,9.38525262e-22,-2.0098238
8.09309995e-07,1.04916626e-22,1.23026335
8.11854989e-07,1.5127224e-21,-1.77784586
8.14399982e-07,1.78190133e-21,1.87204218
8.16944976e-07,2.35320947e-23,0.106877282
8.19490026e-07,4.63958095e-26,-2.50825763
8.2203502e-07,1.94421352e-28,-1.60760272
8.24580013e-07,6.60673656e-28,-2.91586351
8.27125007e-07,6.48931358e-28,2.15817189
8.2967e-07,5.25437744e-28,-2.42849803
8.32214994e-07,7.34417129e-28,-2.1166811
8.34759987e-07,4.46445081e-30,-0.936044335
8.37304981e-07,1.20577802e-29,0.14763093
8.39849974e-07,5.17509112e-29,-2.62229586
8.42395025e-07,2.30384765e-29,3.06907725
8.44940018e-07,4.23359094e-29,-2.73197508
8.47485012e-07,1.40761477e-28,-2.81848979
8.50030005e-07,2.27761787e-32,-1.95162237
8.52574999e-07,2.2436213e-34,2.96084476
8.55119993e-07,1.09960417e-37,-0.563174069
9.11110021e-07,5.23882195e-29,-0.9123317
9.13655015e-07,7.35613336e-29,0.914701104
9.16200008e-07,3.73165139e-30,-2.53171825
9.18745002e-07,1.67106366e-29,0.527570546
9.21289995e-07,5.43923157e-28,0.584418952
9.23834989e-07,3.27930875e-30,1.54717457
9.26379983e-07,6.3977653e-31,2.68868518
9.28924976e-07,5.61493978e-32,0.483522952
9.31470026e-07,1.06869364e-29,0.525315344
9.3401502e-07,7.13252779e-31,1.26701999
9.36560014e-07,2.38320552e-30,-0.901138425
9.39105007e-07,5.17679447e-34,2.50612688
9.41650001e-07,3.24289892e-40,-1.96022666
