Time (s),| Total Complex Impulse Response total | (W),Phase( Total Complex Impulse Response total ) (rad)
1.60335003e-06,2.39595433e-14,3.08110595
1.60589502e-06,1.61281971e-13,-1.64521074
1.79931499e-06,1.75019427e-16,-2.72021341
1.80694997e-06,8.09241021e-13,-0.95333463
1.80949496e-06,5.73227048e-15,1.0623008
1.81203995e-06,1.5964463e-15,2.23265791
1.81458495e-06,5.37300993e-15,-0.88119036
1.81713006e-06,5.90166606e-15,-2.14107156
1.81967505e-06,1.86464105e-14,2.51203346
1.82222004e-06,6.20722303e-15,-1.50481677
1.82476504e-06,2.90319488e-18,1.29191065
1.82731003e-06,1.26148246e-15,-2.87047195
1.82985502e-06,4.00560314e-15,0.397381246
1.83240002e-06,8.2744692e-15,1.79860151
1.83494501e-06,6.37473253e-19,1.82916248
1.83749e-06,2.92904888e-19,0.230645344
1.840035e-06,2.05994323e-20,-3.1074903
1.84257999e-06,2.77093015e-18,-2.58246064
1.84512498e-06,1.03899284e-23,-1.98402083
1.84766998e-06,3.98123644e-21,-0.713549674
1.85021497e-06,1.63762439e-27,-1.79296911
1.85275997e-06,3.80641847e-29,-1.14203465
1.85530496e-06,9.15577526e-29,0.522657454
1.85784995e-06,3.09313358e-30,-1.74943709
1.86039495e-06,1.37421187e-35,-0.0945339277
1.86294005e-06,9.72109309e-37,1.20742083
1.95710504e-06,1.07587556e-23,2.80699468
1.95965004e-06,3.77917819e-25,-2.70632577
1.96219503e-06,2.71752149e-24,-1.93952012
1.96474002e-06,4.92387009e-25,2.56669641
1.96728502e-06,7.89353722e-23,2.66138959
1.96983001e-06,4.22554882e-24,-0.866968274
1.972375e-06,2.43630415e-26,0.123974562
1.97492e-06,2.29850796e-23,-1.29224074
1.97746499e-06,1.12677287e-23,-0.835698724
1.98000998e-06,1.50900256e-23,-2.32284904
1.98255498e-06,8.65935968e-25,2.78947568
1.98509997e-06,6.05670108e-28,1.93858528
1.98764496e-06,2.13310536e-28,-1.78137171
1.99018996e-06,1.50877258e-30,1.20773816
1.99273495e-06,1.4961141e-30,-0.397182494
1.99527994e-06,1.40578686e-30,-1.28206682
1.99782494e-06,9.15090568e-36,-1.51713097
2.00036993e-06,3.81193683e-36,2.77533531
2.10980511e-06,3.362815e-28,-2.83996892
2.1123501e-06,7.44903893e-32,1.23684204
2.1148951e-06,6.60865495e-33,0.0291532073
2.11744009e-06,2.4015493e-31,-0.286317021
2.11998508e-06,1.18704015e-30,-0.344083458
2.12253008e-06,2.373719e-31,2.80235648
2.12507507e-06,4.50620335e-35,2.18253136
2.12762006e-06,1.90503123e-35,-0.132555693
2.13016506e-06,1.55224746e-31,1.20747685
2.13271005e-06,1.39179751e-32,2.92201805
2.13525504e-06,6.60843352e-36,-1.68569469
2.13780004e-06,1.17989331e-42,-0.158501193
3.36449011e-06,1.01175757e-20,1.57351792
3.36703511e-06,9.64785533e-23,0.918011189
3.3695801e-06,6.22469473e-30,1.06194472
3.37212509e-06,1.11550151e-27,1.94552553
3.37467009e-06,6.15333799e-28,2.39239907
3.37721508e-06,4.70071255e-28,0.253183454
3.37976007e-06,2.56466413e-28,1.55247021
3.38230507e-06,1.73217163e-34,1.06175625
3.38485006e-06,6.51863486e-33,1.50722182
3.51718995e-06,4.16297846e-27,-1.15778375
3.51973495e-06,4.63967904e-37,1.04617
3.52227994e-06,7.71106616e-35,2.19085789
4.8940351e-06,1.91207378e-30,-0.466089725
4.89657987e-06,5.60882747e-30,0.799470186
4.89912509e-06,7.64474302e-33,-2.41498065
4.90166985e-06,4.10715081e-32,-1.88518763
4.90421507e-06,7.03082402e-31,1.3633647
4.90675984e-06,5.62495996e-34,0.092344135
4.90930506e-06,7.13126505e-33,0.529130518
4.91184983e-06,3.20115287e-33,-2.36879516
4.91439505e-06,3.63504818e-32,0.506611347
4.91693982e-06,6.06930215e-33,-1.36998916
4.91948504e-06,1.02852656e-34,-1.09903765
4.9220298e-06,8.96379239e-39,1.26453328
4.92457502e-06,7.42688186e-44,1.92412543
